INSTNM,STABBR
University of Great Falls,MT
Helena College University of Montana,MT
Little Big Horn College,MT
Miles Community College,MT
Modern Beauty School Inc,MT
Montana Tech of the University of Montana,MT
Montana State University,MT
The University of Montana,MT
Montana State University-Northern,MT
Rocky Mountain College,MT
Salish Kootenai College,MT
The University of Montana-Western,MT
La'James International College,NE
Bellevue University,NE
Clarkson College,NE
Bryan College of Health Sciences,NE
Central Community College,NE
Chadron State College,NE
College of Hair Design-Downtown,NE
Concordia University-Nebraska,NE
Creighton University,NE
Doane College-Crete,NE
Grace University,NE
Hastings College,NE
Fullen School of Hair Design,NE
Alegent Creighton Health School of Radiologic Technology,NE
Joseph's College,NE
University of Nebraska at Kearney,NE
Kaplan University-Lincoln Campus,NE
Nebraska Methodist College of Nursing & Allied Health,NE
Metropolitan Community College Area,NE
Mid-Plains Community College,NE
Midland University,NE
Nebraska Christian College,NE
University of Nebraska at Omaha,NE
Kaplan University-Omaha Campus,NE
Nebraska Indian Community College,NE
University of Nebraska Medical Center,NE
Nebraska Wesleyan University,NE
University of Nebraska-Lincoln,NE
Northeast Community College,NE
Peru State College,NE
Summit Christian College,NE
College of Saint Mary,NE
Southeast Community College Area,NE
Union College,NE
University of Nebraska-Central Administration System Office,NE
Vatterott College-Spring Valley,NE
Nebraska College of Technical Agriculture,NE
Wayne State College,NE
Regional West Medical Center School of Radiologic Technology,NE
Western Nebraska Community College,NE
York College,NE
Academy of Hair Design-Las Vegas,NV
Career College of Northern Nevada,NV
College of Southern Nevada,NV
The Art Institute of Las Vegas,NV
Everest College-Henderson,NV
Marinello Schools of Beauty-Las Vegas,NV
University of Nevada-Las Vegas,NV
University of Nevada-Reno,NV
Great Basin College,NV
Marinello Schools of Beauty-Reno,NV
Morrison University,NV
Sierra Nevada College,NV
Truckee Meadows Community College,NV
Nevada System of Higher Education-System Office,NV
Western Nevada College,NV
Colby-Sawyer College,NH
Continental Academie of Hair Design-Hudson,NH
Daniel Webster College,NH
Dartmouth College,NH
Empire Beauty School-Laconia,NH
Empire Beauty School-Somersworth,NH
Franklin Pierce University,NH
University of New Hampshire-School of Law,NH
Mount Washington College,NH
Keene Beauty Academy,NH
Lebanon College,NH
College of St Mary Magdalen,NH
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,NH
New England College,NH
New England School of Hair Design Inc,NH
Southern New Hampshire University,NH
New Hampshire Institute for Therapeutic Arts,NH
University of New Hampshire-Main Campus,NH
Keene State College,NH
University of New Hampshire at Manchester,NH
Plymouth State University,NH
NHTI-Concord's Community College,NH
White Mountains Community College,NH
River Valley Community College,NH
Lakes Region Community College,NH
Manchester Community College,NH
Nashua Community College,NH
Great Bay Community College,NH
Paul Mitchell the School-Portsmouth,NH
Rivier University,NH
Saint Anselm College,NH
St Joseph School of Nursing,NH
Granite State College,NH
Thomas More College of Liberal Arts,NH
University System of New Hampshire System Office,NH
Eastwick College-Hackensack,NJ
Assumption College for Sisters,NJ
Atlantic Cape Community College,NJ
Fortis Institute-Wayne,NJ
Bergen Community College,NJ
Berkeley College-Woodland Park,NJ
Beth Medrash Govoha,NJ
Bloomfield College,NJ
Brookdale Community College,NJ
Burlington County College,NJ
Caldwell College,NJ
Camden County College,NJ
Centenary College,NJ
Adult and Continuing Education-BCTS,NJ
Anthem Institute-Parsippany,NJ
Lincoln Technical Institute-Edison,NJ
Fox Institute of Business-Clifton,NJ
Dover Business College,NJ
Empire Beauty School-Ocean,NJ
Cooper Health System Center for Allied Health Education,NJ
County College of Morris,NJ
Cumberland County College,NJ
DeVry University-New Jersey,NJ
Divers Academy International,NJ
Drake College of Business-Elizabeth,NJ
Drew University,NJ
duCret School of Arts,NJ
Lincoln Technical Institute-South Plainfield,NJ
Essex County College,NJ
Empire Beauty School-Union,NJ
Fairleigh Dickinson University-Metropolitan Campus,NJ
Felician College,NJ
Fairleigh Dickinson University-College at Florham,NJ
Hohokus School of Trade and Technical Sciences,NJ
Georgian Court University,NJ
Rowan University,NJ
Gloucester County College,NJ
Empire Beauty School-Cherry Hill,NJ
Harris School of Business-Cherry Hill Campus,NJ
Eastwick College-Ramsey,NJ
Holy Name Medical Center School of Nursing,NJ
Hudson County Community College,NJ
New Jersey City University,NJ
Joe Kubert School of Cartoon and Graphic Art,NJ
Kean University,NJ
Harris School of Business-Voorhees Campus,NJ
Lincoln Technical Institute-Union,NJ
Rizzieri Aveda School for Beauty and Wellness,NJ
Mercer County Community College,NJ
Middlesex County College,NJ
Monmouth University,NJ
Montclair State University,NJ
Mountainside School of Nursing,NJ
Muhlenberg Harold B and Dorothy A Snyder Schools-School of Imaging,NJ
Muhlenberg Harold B and Dorothy A Snyder Schools-School of Nursing,NJ
Hohokus School-RETS Nutley,NJ
Empire Beauty School-Jersey City,NJ
New Brunswick Theological Seminary,NJ
Robert Fiance Beauty Schools-West New York,NJ
New Jersey Institute of Technology,NJ
Ocean County College,NJ
Omega Institute,NJ
P B Cosmetology Education Center,NJ
Parisian Beauty School,NJ
Passaic County Community College,NJ
Pennco Tech-Blackwood,NJ
Princeton Theological Seminary,NJ
Princeton University,NJ
Rabbinical College of America,NJ
Ramapo College of New Jersey,NJ
Robert Fiance Beauty Schools-Perth Amboy,NJ
Rider University,NJ
Roman Academy of Beauty Culture,NJ
Rutgers University-Camden,NJ
Rutgers University-New Brunswick,NJ
Rutgers University-Newark,NJ
St Francis Medical Center-School of Radiologic Technology,NJ
Saint Francis Medical Center School of Nursing,NJ
Saint Peter's University,NJ
Salem Community College,NJ
Seton Hall University,NJ
Atlantic Beauty & Spa Academy LLC,NJ
College of Saint Elizabeth,NJ
Raritan Valley Community College,NJ
Stevens Institute of Technology,NJ
The Richard Stockton College of New Jersey,NJ
Talmudical Academy-New Jersey,NJ
Teterboro School of Aeronautics,NJ
Thomas Edison State College,NJ
The College of New Jersey,NJ
Sanford-Brown Institute-Iselin,NJ
Union County College,NJ
University of Medicine and Dentistry of New Jersey,NJ
William Paterson University of New Jersey,NJ
Olympian University of Cosmetology,NM
Central New Mexico Community College,NM
Navajo Technical University,NM
De Wolff College Hair Styling and Cosmetology,NM
New Mexico State University-Dona Ana,NM
Clovis Community College,NM
Eastern New Mexico University-Main Campus,NM
Eastern New Mexico University-Roswell Campus,NM
Institute of American Indian and Alaska Native Culture,NM
New Mexico Highlands University,NM
New Mexico Junior College,NM
New Mexico Military Institute,NM
University of New Mexico-Gallup Campus,NM
New Mexico Institute of Mining and Technology,NM
University of New Mexico-Los Alamos Campus,NM
University of New Mexico-Main Campus,NM
New Mexico State University-Alamogordo,NM
New Mexico State University-Carlsbad,NM
New Mexico State University-Grants,NM
New Mexico State University-Main Campus,NM
University of New Mexico-Valencia County Campus,NM
Northern New Mexico College,NM
San Juan College,NM
Santa Fe Community College,NM
Santa Fe University of Art and Design,NM
University of the Southwest,NM
Southwestern College,NM
Southwestern Indian Polytechnic Institute,NM
University of New Mexico-Taos Campus,NM
Mesalands Community College,NM
Vogue College of Cosmetology-Santa Fe,NM
Western New Mexico University,NM
Vaughn College of Aeronautics and Technology,NY
Adelphi University,NY
Adirondack Community College,NY
Globe Institute of Technology,NY
Bryant & Stratton College-Albany,NY
Albany College of Pharmacy and Health Sciences,NY
Albany Law School,NY
Albany Medical College,NY
Alfred University,NY
Allen School-Brooklyn,NY
The Ailey School,NY
American Academy of Dramatic Arts-New York,NY
American Academy McAllister Institute of Funeral Service,NY
Joffrey Ballet School,NY
American Musical and Dramatic Academy,NY
Apex Technical School,NY
Arnot Ogden Medical Center,NY
Associated Beth Rivkah Schools,NY
Austin's School of Spa Technology,NY
Bank Street College of Education,NY
Bard College,NY
Barnard College,NY
Berk Trade and Business School,NY
Berkeley College-New York,NY
Beth Hatalmud Rabbinical College,NY
Beth Hamedrash Shaarei Yosher Institute,NY
Phillips Beth Israel School of Nursing,NY
Hair Design Institute at Fifth Avenue-Brooklyn,NY
Boricua College,NY
Bramson ORT College,NY
Briarcliffe College,NY
Brittany Beauty School,NY
American Beauty School,NY
Brooklyn Law School,NY
SUNY Broome Community College,NY
Bryant & Stratton College-Amherst,NY
Bryant & Stratton College-Syracuse North,NY
Bryant & Stratton College-Syracuse,NY
Bryant & Stratton College-Buffalo,NY
Bryant & Stratton College-Greece,NY
Business Informatics Center Inc,NY
Canisius College,NY
Capri School of Hair Design,NY
St Paul's School of Nursing-Queens,NY
Cayuga County Community College,NY
Cazenovia College,NY
Central Yeshiva Tomchei Tmimim Lubavitz,NY
Cheryl Fells School of Business,NY
Christ the King Seminary,NY
Circle in the Square Theater School,NY
CUNY System Office,NY
Clarkson University,NY
Clinton Community College,NY
Cochran School of Nursing,NY
Colgate Rochester Crozer Divinity School,NY
Colgate University,NY
Metropolitan College of New York,NY
Columbia University in the City of New York,NY
Columbia-Greene Community College,NY
Empire Beauty School-Queens,NY
Concordia College-New York,NY
Continental School of Beauty Culture-Buffalo,NY
Continental School of Beauty Culture-Batavia,NY
Continental School of Beauty Culture-Rochester,NY
Cooper Union for the Advancement of Science and Art,NY
Cornell University,NY
Weill Cornell Medical College,NY
Corning Community College,NY
Crouse Hospital College of Nursing,NY
Culinary Institute of America,NY
CUNY Bernard M Baruch College,NY
CUNY Borough of Manhattan Community College,NY
CUNY Bronx Community College,NY
CUNY Brooklyn College,NY
College of Staten Island CUNY,NY
CUNY City College,NY
CUNY Graduate School and University Center,NY
CUNY Hostos Community College,NY
CUNY Hunter College,NY
CUNY John Jay College of Criminal Justice,NY
CUNY Kingsborough Community College,NY
CUNY LaGuardia Community College,NY
CUNY Lehman College,NY
CUNY Medgar Evers College,NY
CUNY New York City College of Technology,NY
CUNY Queens College,NY
CUNY Queensborough Community College,NY
CUNY School of Law at Queens College,NY
CUNY York College,NY
CVPH Medical Center School of Radiologic Technology,NY
D'Youville College,NY
Daemen College,NY
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,NY
Dominican College of Blauvelt,NY
Dowling College,NY
Dutchess Community College,NY
Belanger School of Nursing,NY
Elmira Business Institute,NY
Elmira College,NY
Erie Community College,NY
Fashion Institute of Technology,NY
Finger Lakes Community College,NY
Five Towns College,NY
Fordham University,NY
The International Culinary Center,NY
Fulton-Montgomery Community College,NY
Gemological Institute of America-New York,NY
The General Theological Seminary,NY
Genesee Community College,NY
Global Business Institute,NY
Global Business Institute,NY
Hamilton College,NY
Hartwick College,NY
Helene Fuld College of Nursing,NY
Herkimer County Community College,NY
Hilbert College,NY
Hobart William Smith Colleges,NY
Hofstra University,NY
Houghton College,NY
Hudson Valley Community College,NY
Hunter Business School,NY
Institute of Design and Construction,NY
Institute of Audio Research,NY
Iona College,NY
Isabella Graham Hart School of Practical Nursing,NY
Island Drafting and Technical Institute,NY
Ithaca College,NY
Jamestown Community College,NY
Jamestown Business College,NY
Jefferson Community College,NY
Jewish Theological Seminary of America,NY
The Juilliard School,NY
SBI Campus-An Affiliate of Sanford-Brown,NY
Kehilath Yakov Rabbinical Seminary,NY
Keuka College,NY
LIM College,NY
Le Moyne College,NY
LIU Brooklyn,NY
LIU Post,NY
LIU-University Center Campus,NY
Long Island Beauty School-Hempstead,NY
Long Island Business Institute,NY
LIU Hudson at Rockland,NY
LIU Brentwood,NY
Machzikei Hadath Rabbinical College,NY
Mandl School-The College of Allied Health,NY
Manhattan College,NY
Manhattan School of Music,NY
Manhattanville College,NY
Maria College of Albany,NY
Marion S Whelan School of Nursing of Geneva General Hospital,NY
Marist College,NY
MarJon School of Beauty ltd-Tonawanda,NY
Marymount Manhattan College,NY
Medaille College,NY
Memorial School of Nursing,NY
Memorial Hospital School of Radiation Therapy Technology,NY
Mercy College,NY
Mesivta Torah Vodaath Rabbinical Seminary,NY
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NY
Mesivtha Tifereth Jerusalem of America,NY
Southern Westchester BOCES-Practical Nursing Program,NY
Midway Paris Beauty School,NY
Mildred Elley School-Albany Campus,NY
Mirrer Yeshiva Cent Institute,NY
Modern Welding School,NY
Mohawk Valley Community College,NY
Molloy College,NY
Monroe College,NY
Monroe Community College,NY
Mount Saint Mary College,NY
Dorothea Hopfer School of Nursing-Mt Vernon Hospital,NY
College of Mount Saint Vincent,NY
Icahn School of Medicine at Mount Sinai,NY
Nassau Community College,NY
Nazareth College,NY
Neighborhood Playhouse School of the Theater,NY
The College of New Rochelle,NY
The New School,NY
New School of Radio and Television,NY
New York Chiropractic College,NY
Star Career Academy-New York,NY
New York Institute of English and Business,NY
New York Law School,NY
New York Medical College,NY
New York School for Medical and Dental Assistants,NY
New York Theological Seminary,NY
New York University,NY
Niagara County Community College,NY
Niagara University,NY
Empire Beauty School-Peekskill,NY
North Country Community College,NY
New York College of Podiatric Medicine,NY
New York Institute of Technology,NY
New York School of Interior Design,NY
Nyack College,NY
Ohr Hameir Theological Seminary,NY
Olean Business Institute,NY
Onondaga Community College,NY
Orange County Community College,NY
Otsego Area BOCES-Practical Nursing Program,NY
Pace University-New York,NY
Paul Smiths College of Arts and Science,NY
Continental School of Beauty Culture-West Seneca,NY
Plaza College,NY
Polytechnic Institute of New York University,NY
Davis College,NY
Pratt Institute-Main,NY
Professional Business College,NY
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY
Rabbinical College Bobover Yeshiva Bnei Zion,NY
Rabbinical College of Ch'san Sofer New York,NY
Rabbinical College Beth Shraga,NY
Rabbinical Seminary M'kor Chaim,NY
Rabbinical College of Long Island,NY
Rabbinical Seminary of America,NY
Rensselaer Polytechnic Institute,NY
Ridley-Lowell Business & Technical Institute-Binghamton,NY
Roberts Wesleyan College,NY
Everest Institute-Rochester,NY
Rochester Institute of Technology,NY
University of Rochester,NY
Rockefeller University,NY
Rockland Community College,NY
Empire Beauty School-Manhattan,NY
The Sage Colleges,NY
St Bernard's School of Theology and Ministry,NY
St Bonaventure University,NY
St Francis College,NY
St Joseph's College of Nursing at St Joseph's Hospital Health Center,NY
St Lawrence University,NY
The College of Saint Rose,NY
St Thomas Aquinas College,NY
Samaritan Hospital School of Nursing,NY
Sarah Lawrence College,NY
Schenectady County Community College,NY
Sh'or Yoshuv Rabbinical College,NY
Siena College,NY
Simmons Institute of Funeral Service Inc,NY
Skidmore College,NY
Saint Joseph's College-New York,NY
Saint Vladimirs Orthodox Theological Seminary,NY
Spanish-American Institute,NY
Faxton-St Luke's Healthcare School of Radiologic Technology,NY
Saint Elizabeth College of Nursing,NY
Saint Elizabeth Medical Center School of Radiography,NY
Saint John Fisher College,NY
St Paul's School of Nursing-Staten Island,NY
St James Mercy Hospital School of Radiologic Science,NY
St John's University-New York,NY
SUNY-System Office,NY
New York Career Institute,NY
Suburban Technical School,NY
Branford Hall Career Institute-Bohemia Campus,NY
Sullivan County Community College,NY
SUNY College of Technology at Alfred,NY
SUNY College of Technology at Canton,NY
SUNY College of Technology at Delhi,NY
SUNY College of Agriculture and Technology at Cobleskill,NY
Farmingdale State College,NY
Morrisville State College,NY
SUNY at Albany,NY
SUNY at Binghamton,NY
University at Buffalo,NY
Stony Brook University,NY
SUNY College of Environmental Science and Forestry,NY
SUNY Institute of Technology at Utica-Rome,NY
SUNY College at Brockport,NY
Buffalo State SUNY,NY
SUNY College at Cortland,NY
SUNY at Fredonia,NY
SUNY College at Geneseo,NY
State University of New York at New Paltz,NY
SUNY Oneonta,NY
SUNY College at Oswego,NY
SUNY College at Potsdam,NY
SUNY at Purchase College,NY
SUNY College of Optometry,NY
SUNY College at Old Westbury,NY
SUNY College at Plattsburgh,NY
SUNY Downstate Medical Center,NY
SUNY Empire State College,NY
SUNY Maritime College,NY
Upstate Medical University,NY
Swedish Institute a College of Health Sciences,NY
Syracuse University,NY
Talmudical Seminary Oholei Torah,NY
Talmudical Institute of Upstate New York,NY
Teachers College at Columbia University,NY
Technical Career Institutes,NY
Tompkins Cortland Community College,NY
Torah Temimah Talmudical Seminary,NY
Touro College,NY
Trocaire College,NY
Excelsior College,NY
Ulster County Community College,NY
Sanford-Brown Institute-New York,NY
Union College,NY
Union Theological Seminary in the City of New York,NY
United Talmudical Seminary,NY
United States Merchant Marine Academy,NY
United States Military Academy,NY
Utica College,NY
Utica School of Commerce,NY
Vassar College,NY
Villa Maria College,NY
School of Visual Arts,NY
Wagner College,NY
Webb Institute,NY
Wells College,NY
The College of Westchester,NY
SUNY Westchester Community College,NY
Westchester School of Beauty Culture,NY
Wood Tobe-Coburn School,NY
Word of Life Bible Institute,NY
Yeshiva Karlin Stolin,NY
Yeshivat Mikdash Melech,NY
Yeshiva Derech Chaim,NY
Yeshiva of Nitra Rabbinical College,NY
Yeshiva Shaar Hatorah,NY
Yeshiva University,NY
Yeshivath Viznitz,NY
Yeshivath Zichron Moshe,NY
College of the Albemarle,NC
The Art Institute of Charlotte,NC
South Piedmont Community College,NC
Appalachian State University,NC
Asheville-Buncombe Technical Community College,NC
Barton College,NC
Beaufort County Community College,NC
Belmont Abbey College,NC
Bennett College,NC
Bladen Community College,NC
Blue Ridge Community College,NC
Brevard College,NC
Brookstone College-Charlotte,NC
Brunswick Community College,NC
Cabarrus College of Health Sciences,NC
Caldwell Community College and Technical Institute,NC
Campbell University,NC
Cape Fear Community College,NC
Carolina School of Broadcasting,NC
Carteret Community College,NC
Catawba College,NC
Catawba Valley Community College,NC
South College-Asheville,NC
Central Carolina Community College,NC
Central Piedmont Community College,NC
Chowan University,NC
Cleveland Community College,NC
Coastal Carolina Community College,NC
Craven Community College,NC
Davidson County Community College,NC
Davidson College,NC
Duke University,NC
Durham Technical Community College,NC
East Carolina University,NC
Edgecombe Community College,NC
Elizabeth City State University,NC
Elon University,NC
Fayetteville Beauty College,NC
Fayetteville Technical Community College,NC
Fayetteville State University,NC
Forsyth Technical Community College,NC
Gardner-Webb University,NC
Gaston College,NC
Greensboro College,NC
Guilford College,NC
Guilford Technical Community College,NC
Halifax Community College,NC
Haywood Community College,NC
Heritage Bible College,NC
High Point University,NC
Isothermal Community College,NC
James Sprunt Community College,NC
Laurel University,NC
Johnson C Smith University,NC
Johnston Community College,NC
Lees-McRae College,NC
Lenoir Community College,NC
Lenoir-Rhyne University,NC
Leons Beauty School Inc,NC
Livingstone College,NC
Louisburg College,NC
Mars Hill University,NC
Martin Community College,NC
Mayland Community College,NC
McDowell Technical Community College,NC
Mercy School of Nursing,NC
Meredith College,NC
Methodist University,NC
Miller-Motte College-Wilmington,NC
Mitchell Community College,NC
Mitchells Hairstyling Academy-Greenville,NC
Mitchells Hairstyling Academy-Wilson,NC
Regina's College of Beauty-Monroe,NC
Montgomery Community College,NC
Montreat College,NC
Mount Olive College,NC
College of Wilmington,NC
Nash Community College,NC
North Carolina A & T State University,NC
University of North Carolina at Asheville,NC
University of North Carolina at Chapel Hill,NC
University of North Carolina at Charlotte,NC
University of North Carolina at Greensboro,NC
North Carolina Central University,NC
University of North Carolina System Office,NC
University of North Carolina School of the Arts,NC
North Carolina State University at Raleigh,NC
North Carolina Wesleyan College,NC
University of North Carolina Wilmington,NC
Pamlico Community College,NC
William Peace University,NC
University of North Carolina at Pembroke,NC
Pfeiffer University,NC
Piedmont International University,NC
Piedmont Community College,NC
Pitt Community College,NC
Queens University of Charlotte,NC
Randolph Community College,NC
Richmond Community College,NC
Mid-Atlantic Christian University,NC
Roanoke-Chowan Community College,NC
Robeson Community College,NC
Rockingham Community College,NC
Rowan-Cabarrus Community College,NC
Saint Augustine's University,NC
Salem College,NC
Sampson Community College,NC
Sandhills Community College,NC
Shaw University,NC
Paul Mitchell the School-Fayetteville,NC
St Andrews University,NC
Empire Beauty School-Matthews,NC
Southeastern Community College,NC
Southwestern Community College,NC
Stanly Community College,NC
Southeastern Baptist Theological Seminary,NC
Surry Community College,NC
Alamance Community College,NC
Tri-County Community College,NC
Vance-Granville Community College,NC
Wake Forest University,NC
Wake Technical Community College,NC
Warren Wilson College,NC
Watts School of Nursing,NC
Wayne Community College,NC
Western Piedmont Community College,NC
Wilkes Community College,NC
Wilson Community College,NC
Wingate University,NC
Carolina Christian College,NC
Winston Salem Barber School,NC
Winston-Salem State University,NC
Western Carolina University,NC
Rasmussen College-North Dakota,ND
Bismarck State College,ND
Dickinson State University,ND
Fort Berthold Community College,ND
Josef's School of Hair Design Inc-Grand Forks,ND
Headquarters Academy of Hair Design Inc,ND
University of Jamestown,ND
Josef's School of Hair Design Inc-Fargo Downtown,ND
Lake Region State College,ND
Cankdeska Cikana Community College,ND
University of Mary,ND
Mayville State University,ND
Sanford College of Nursing,ND
Minot State University,ND
Moler Barber College,ND
University of North Dakota,ND
North Dakota State College of Science,ND
Dakota College at Bottineau,ND
North Dakota State University-Main Campus,ND
Williston State College,ND
JZ Trend Academy Paul Mitchell Partner School,ND
Sitting Bull College,ND
Trinity Bible College,ND
Turtle Mountain Community College,ND
United Tribes Technical College,ND
Valley City State University,ND
ETI Technical College,OH
The Art Institute of Cincinnati,OH
Miami-Jacobs Career College-Independence,OH
Air Force Institute of Technology-Graduate School of Engineering & Management,OH
Akron Institute of Herzing University,OH
University of Akron Main Campus,OH
Akron School of Practical Nursing,OH
University of Akron Wayne College,OH
Allegheny Wesleyan College,OH
Antonelli College-Cincinnati,OH
Apollo Career Center,OH
Art Academy of Cincinnati,OH
Ashland County-West Holmes Career Center,OH
Ashland University,OH
Ashtabula County Technical and Career Campus,OH
Athenaeum of Ohio,OH
Auburn Career Center,OH
Aultman College of Nursing and Health Sciences,OH
Baldwin Wallace University,OH
Belmont College,OH
Bluffton University,OH
Fortis College-Ravenna,OH
Bowling Green State University-Firelands,OH
Bowling Green State University-Main Campus,OH
Bryant & Stratton College-Parma,OH
Buckeye Hills Career Center,OH
Butler Tech-D Russel Lee Career Center,OH
Canton City Schools Adult Career and Technical Education,OH
Capital University,OH
Valley Beauty School,OH
Carousel Beauty College-Middletown,OH
Carousel Beauty College-Dayton,OH
Carousel of Miami Valley Beauty College,OH
Case Western Reserve University,OH
Cedarville University,OH
Central Ohio Technical College,OH
Central School of Practical Nursing,OH
Central State University,OH
Chatfield College,OH
Choffin Career  and Technical Center,OH
The Christ College of Nursing and Health Sciences,OH
Cincinnati Christian University,OH
Cincinnati College of Mortuary Science,OH
University of Cincinnati-Main Campus,OH
Cincinnati State Technical and Community College,OH
University of Cincinnati-Clermont College,OH
University of Cincinnati-Blue Ash College,OH
Ohio Christian University,OH
Clark State Community College,OH
Scott College of Cosmetology,WV
Cleveland Institute of Art,OH
Cleveland Institute of Dental-Medical Assistants-Cleveland,OH
Cleveland Institute of Music,OH
Cleveland State University,OH
Columbiana County Career and Technical Center,OH
Bradford School,OH
Columbus College of Art and Design,OH
Kaplan College-Columbus,OH
Columbus State Community College,OH
Cuyahoga Community College District,OH
Davis College,OH
Dayton Barber College,OH
University of Dayton,OH
Defiance College,OH
Denison University,OH
DeVry University-Ohio,OH
Chancellor University,OH
Eastern Hills Academy of Hair Design,OH
Edison State Community College,OH
EHOVE Career Center,OH
Bryant & Stratton College-Cleveland,OH
Regency Beauty Institute-Cleveland,OH
The University of Findlay,OH
Franklin University,OH
Gerbers Akron Beauty School,OH
Gods Bible School and College,OH
Good Samaritan College of Nursing and Health Science,OH
Great Oaks Institute of Technology and Career Development,OH
Hannah E Mullins School of Practical Nursing,OH
Adult and Community Education-Hudson,OH
Hebrew Union College-Jewish Institute of Religion,NY
Heidelberg University,OH
Hiram College,OH
Hobart Institute of Welding Technology,OH
Hocking College,OH
American School of Technology,OH
Ross Medical Education Center-Cincinnati,OH
International College of Broadcasting,OH
ITT Technical Institute-Dayton,OH
Eastern Gateway Community College,OH
John Carroll University,OH
Hondros College,OH
Casal Aveda Institute,OH
Kent State University at Ashtabula,OH
Kent State University at East Liverpool,OH
Kent State University at Stark,OH
Kent State University at Trumbull,OH
Kent State University at Tuscarawas,OH
Kent State University at Salem,OH
Kent State University at Kent,OH
Kent State University at Geauga,OH
Kenyon College,OH
Kettering College,OH
Lake Erie College,OH
Lakeland Community College,OH
O C Collins Career Center,OH
James A Rhodes State College,OH
Ohio Business College-Sheffield,OH
Ohio Business College-Sandusky,OH
Lorain County Community College,OH
Lourdes University,OH
Malone University,OH
Marietta College,OH
Marion Technical College,OH
Medina County Career Center,OH
Mercy College of Ohio,OH
Methodist Theological School in Ohio,OH
Miami University-Hamilton,OH
Miami University-Middletown,OH
Miami University-Oxford,OH
Miami-Jacobs Career College-Dayton,OH
Moler Hollywood Beauty Academy,OH
Miami Valley Career Technology Center,OH
Mount Carmel College of Nursing,OH
University of Mount Union,OH
Mount Vernon Nazarene University,OH
College of Mount St Joseph,OH
Zane State College,OH
Muskingum University,OH
Fortis College-Cuyahoga Falls,OH
Brown Mackie College-North Canton,OH
National Beauty College,OH
North Central State College,OH
Northern Institute of Cosmetology,OH
Northwest State Community College,OH
Toledo Public Schools Adult and Continuing Education,OH
Notre Dame College,OH
Northeast Ohio Medical University,OH
University of Northwestern Ohio,OH
Oberlin College,OH
Ohio College of Massotherapy Inc,OH
Ohio Technical College,OH
Ohio Dominican University,OH
Kaplan College-Dayton,OH
Ohio Northern University,OH
Ohio State University Agricultural Technical Institute,OH
Ohio State University-Lima Campus,OH
Ohio State University-Mansfield Campus,OH
Ohio State University-Marion Campus,OH
Ohio State University-Newark Campus,OH
Ohio State Beauty Academy,OH
Ohio State College of Barber Styling,OH
Ohio State School of Cosmetology & Experts Barber School,OH
The Spa School,OH
Ohio State School of Cosmetology-Canal Winchester,OH
Ohio State University-Main Campus,OH
Ohio University-Eastern Campus,OH
Ohio University-Chillicothe Campus,OH
Ohio University-Southern Campus,OH
Ohio University-Lancaster Campus,OH
Ohio University-Main Campus,OH
Ohio University-Zanesville Campus,OH
Ohio Valley College of Technology,OH
Trinity Health System School of Nursing,OH
Ohio Wesleyan University,OH
Otterbein University,OH
Owens Community College,OH
Paramount Beauty Academy,OH
Cuyahoga Valley Career Center,OH
Payne Theological Seminary,OH
Pontifical College Josephinum,OH
Professional Skills Institute,OH
Firelands Regional Medical Center School of Nursing,OH
Rabbinical College Telshe,OH
Raphael's School of Beauty Culture Inc-Niles,OH
Fortis College-Centerville,OH
University of Rio Grande,OH
Advertising Art Educational Services DBA School of Advertising Art,OH
Shawnee State University,OH
Sinclair Community College,OH
Gallipolis Career College,OH
Daymar College-New Boston,OH
Daymar College-Jackson,OH
Daymar College-Lancaster,OH
Daymar College-Chillicothe,OH
Brown Mackie College-Cincinnati,OH
Brown Mackie College-Akron,OH
Lincoln College of Technology-Franklin LCT,OH
Lincoln College of Technology-Tri-County,OH
Lincoln College of Technology-Vine Street,OH
Lincoln College of Technology-Dayton,OH
Stark State College,OH
Stautzenberger College-Maumee,OH
Franciscan University of Steubenville,OH
Southern State Community College,OH
Ohio Mid-Western College,OH
Terra State Community College,OH
Tiffin Academy of Hair Design,OH
Tiffin University,OH
University of Toledo,OH
Kaplan Career Institute-Cleveland,OH
Tri-State Bible College,OH
Tri-County Adult Career Center,OH
Tri-Rivers Career Center,OH
Trinity Lutheran Seminary,OH
Trumbull Business College,OH
Union Institute & University,OH
United Theological Seminary,OH
Upper Valley Career Center,OH
Urbana University,OH
Ursuline College,OH
Valley Beauty School,OH
Virginia Marti College of Art and Design,OH
Cut Beauty School,OH
W Howard Nicol School of Practical Nursing,OH
Walsh University,OH
Washington State Community College,OH
Western Hills School of Beauty and Hair Design,OH
Wilberforce University,OH
Wilmington College,OH
Winebrenner Theological Seminary,OH
Wittenberg University,OH
The College of Wooster,OH
Wright State University-Main Campus,OH
Wright State University-Lake Campus,OH
Xavier University,OH
ITT Technical Institute-Youngstown,OH
Youngstown State University,OH
American Broadcasting School-Oklahoma City,OK
Bacone College,OK
Oklahoma Wesleyan University,OK
Southern Nazarene University,OK
Broken Arrow Beauty College-Broken Arrow,OK
Pontotoc Technology Center,OK
Cameron University,OK
Carl Albert State College,OK
